,corrected,word,sum(cts)
147,inferotemporally,inferotemporally,100
148,paracentrally,paracentrally,100
149,bullae,bullae,99
150,pooling,pooling,98
151,iris,iris,98
152,peripherally,peripherally,97
153,scars,scars,97
154,slightly,slightly,97
155,frank,frank,95
156,pk,pk,95
157,attached,attached,95
158,inferotemporal,inferotemporal,94
159,linear,linear,93
160,host,host,93
161,be,be,92
162,focal,focal,91
163,around,around,90
164,white,"white, whtie",90
165,slight,slight,90
166,periphery,periphery,90
167,irregularity,"irregularity, irrgularity",90
168,faint,faint,89
169,visible,visible,89
170,vascularization,"ascularization, vascularization",88
171,moderate,moderate,88
172,now,now,87
173,endothelium,endothelium,86
174,epidefect,epidefect,82
175,exposed,exposed,82
176,center,center,81
177,membrane,membrane,81
178,edges,edges,81
179,superotemporal,"superotemporal, supertemporal",81
180,debris,"debri, debris",80
181,hypopyon,"hyopyon, hypopion, hypopyon",80
183,subepi,subepi,79
184,dsaek,dsaek,78
185,film,film,78
186,more,more,78
187,diameter,diameter,78
188,by,by,77
189,hazy,hazy,77
190,nylon,nylon,77
191,consolidating,consolidating,76
192,subepithelial,"subeoithelial, subepithelial, subepithelieal, supepithelial",74
193,superonasal,superonasal,74
194,circular,circular,73
195,size,size,73
196,pinpoint,"pinpiont, pinpoint, pintpoint",73
197,mce,"mce, me",71
198,smaller,smaller,71
199,throughout,"tgroughout, throughout, througout",70
200,cells,cells,70
201,centered,centered,70
202,than,"tahn, than",69
203,present,present,69
204,patchy,patchy,69
205,guttae,guttae,68
206,has,has,68
207,lasik,lasik,68
208,previous,"previous, prevous",67
209,along,along,67
210,borders,borders,67
211,edematous,"edemadous, edematous, edemtaous",66
212,multiple,"multiple, multople",66
213,old,old,66
214,sterile,sterile,65
215,rk,rk,64
216,two,two,64
217,as,as,63
218,interface,"interfac, interface",62
219,ant,ant,62
220,circumferential,circumferential,61
221,lens,lens,61
222,interrupted,"interrupted, interrupteds",61
223,good,good,61
224,keratopathy,keratopathy,60
225,amg,amg,60
226,buried,buried,60
227,perforation,"perforation, performation",59
228,well,well,57
229,view,view,57
230,up,up,57
231,inflammatory,inflammatory,56
232,adjacent,adjacent,55
233,arcus,arcus,54
234,deposits,"depositis, deposits",54
235,dusting,dusting,53
236,improving,improving,53
237,position,position,53
238,associated,"associated, assoicated",53
239,obvious,obvious,53
240,consolidated,consolidated,52
241,oclock,oclock,52
242,patch,patch,52
243,early,early,51
244,degrees,degrees,51
245,posterior,posterior,51
246,which,which,50
247,within,"wihin, within",50
248,nearly,nearly,50
249,larger,larger,50
250,lesion,lesion,50
251,horizontal,horizontal,50
252,incision,"incision, incisional",50
253,broken,broken,49
254,neovasc,neovasc,49
255,much,much,48
256,still,still,48
257,half,half,48
258,confluent,confluent,48
259,blood,blood,47
260,limbal,limbal,47
261,neo,neo,46
262,heaped,heaped,46
263,superonasally,superonasally,45
264,mostly,mostly,45
265,appearance,appearance,45
266,see,see,45
267,healing,healing,45
268,site,site,44
269,rare,rare,44
270,removed,removed,44
271,shaped,shaped,44
272,it,it,44
273,mucous,mucous,43
274,dendrite,dendrite,43
275,endopigment,endopigment,43
276,under,under,43
277,resolving,resolving,43
278,difficult,"diffcult, difficult, difficutl",43
279,there,there,43
280,decreased,"decreased, decreasedc",42
281,clearing,clearing,42
282,thickness,thickness,42
283,basement,basement,42
284,abrasion,abrasion,42
285,prior,prior,41
286,previously,previously,41
287,tissue,"fissue, tissue",41
288,vs,vs,41
289,descemet,descemet,41
290,dystrophy,dystrophy,40
291,increased,increased,40
292,this,this,40
293,opacities,opacities,40
294,necrotic,necrotic,40
295,residual,residual,40
296,complete,complete,40
297,approximately,approximately,39
298,for,for,39
299,vascularized,vascularized,39
300,today,today,39
301,abmd,abmd,39
302,thickening,thickening,39
303,appear,appear,39
304,thickened,thickened,39
305,running,running,38
306,same,same,38
307,touch,touch,38
308,new,new,38
309,opacified,opacified,38
310,opaque,opaque,38
311,multifocal,multifocal,38
312,striae,striae,38
313,clock,clock,37
314,wound,wound,37
315,guttata,guttata,37
316,circumferentally,"circumferentally, circumferentially",36
317,adhesion,adhesion,36
318,vertical,"vertical, verticall",36
319,covering,covering,36
320,almost,almost,36
321,lipid,lipid,36
322,microcystic,"microcysic, microcystic",36
323,infiltration,"infiiltration, infiltration",35
324,looks,looks,35
325,that,that,35
326,loss,loss,35
327,full,full,35
328,several,"severa, several",34
329,cell,cell,34
330,are,are,34
331,feathery,feathery,34
332,only,only,33
333,temp,temp,33
334,tm,tm,33
335,pigmented,pigmented,33
336,like,like,32
337,limited,limited,32
338,roughly,roughly,32
339,total,total,32
340,toward,toward,31
341,superotemporally,superotemporally,31
342,fluffy,fluffy,31
343,contact,contact,31
344,vert,vert,31
345,extensive,extensive,31
346,erosions,erosions,31
347,elevation,elevation,31
348,horiz,horiz,31
349,pattern,pattern,31
350,where,where,30
351,palisades,palisades,30
352,elevated,elevated,30
353,interpalpebral,interpalpebral,29
354,biopsy,biopsy,29
355,outside,"outisde, outside",29
356,pterygium,pterygium,29
357,measures,measures,29
358,noted,noted,29
359,especially,especially,29
360,dsek,dsek,29
361,exam,exam,28
362,involving,"involving, invovling",28
363,through,through,28
364,above,above,28
365,lines,lines,28
366,likely,"likely, likley",28
367,vxh,vxh,27
368,defined,defined,27
369,completely,completely,27
370,remains,remains,27
371,perineuritis,perineuritis,26
372,dendrites,dendrites,26
373,ectasia,"ectascia, ectasia",26
374,formation,formation,26
375,sup,"sup, supf",26
376,last,last,26
377,border,border,26
378,conjunctivalization,conjunctivalization,26
379,filaments,filaments,26
380,have,have,25
381,was,was,25
382,break,break,25
383,mid,mid,25
384,ac,ac,25
385,micropannus,micropannus,25
386,greatest,"greastest, greatest",25
387,thinned,"thinned, thinnined",25
388,reaction,reaction,24
389,out,out,24
390,horizontally,"horizonatally, horizonitally, horizontally",24
391,line,line,24
392,ulceration,ulceration,24
393,onto,onto,24
394,discrete,discrete,24
395,satellite,"satelite, satellite, sattelite",24
396,an,an,24
397,none,none,24
398,otherwise,otherwise,23
399,inferocentral,inferocentral,23
400,coarse,coarse,23
401,dlk,dlk,23
402,time,time,23
403,amount,amount,23
404,heme,heme,23
405,surrounded,surrounded,23
406,height,height,23
407,uptake,uptake,23
408,fading,fading,23
409,sig,sig,23
410,extension,extension,23
411,below,below,22
412,other,other,22
413,crystalline,crystalline,22
414,rolled,rolled,22
415,margins,margins,22
416,thinnest,thinnest,22
417,three,three,22
418,irreg,irreg,22
419,positive,positive,22
420,drawing,drawing,22
421,tiny,tiny,22
422,approaches,approaches,22
423,dm,dm,21
424,dendritiform,"dendritiform, dendritiiform",21
425,definite,"definit, definite",21
426,gone,gone,21
427,involvement,involvement,21
428,mucus,mucus,21
429,bleb,bleb,20
430,ik,ik,20
432,forward,forward,19
433,extends,extends,19
434,wbcs,wbcs,19
435,compared,compared,19
436,spots,spots,19
437,thick,thick,19
438,lesions,lesions,19
439,tarsorrhaphy,"tarsorraphy, tarsorrhaphy, tasorrhaphy",19
440,dalk,dalk,19
441,sensation,sensation,19
442,starting,starting,19
443,between,between,19
444,similar,similar,19
445,margin,margin,18
446,better,better,18
447,lamellar,lamellar,18
448,sl,sl,18
449,vertically,vertically,18
450,vogts,"vogt, vogts",18
451,sparing,sparing,18
452,keratinization,keratinization,18
453,pas,pas,18
454,crystal,crystal,18
455,oval,oval,18
456,approaching,approaching,18
457,mildly,mildly,18
458,against,against,17
459,marginal,marginal,17
460,deeper,deeper,17
461,portion,portion,17
462,vascular,vascular,17
463,dendritic,"dendritic, dendritis",17
464,sn,sn,17
465,iron,iron,17
466,grade,grade,17
467,stress,stress,17
468,worse,worse,17
469,flat,flat,17
470,measure,measure,16
471,precipitates,precipitates,16
472,changes,changes,16
473,raised,raised,16
474,consolidation,consolidation,16
475,cut,cut,16
476,compact,compact,16
477,seen,seen,16
478,junction,junction,16
479,also,also,16
480,appearing,appearing,16
481,descemetocele,descemetocele,16
482,glued,glued,16
483,lenticule,lenticule,16
484,deposition,deposition,16
485,sei,sei,15
486,unable,unable,15
487,keratic,keratic,15
488,longer,longer,15
489,scleral,scleral,15
490,steep,steep,15
491,granular,granular,15
492,whitish,whitish,15
493,given,given,15
494,severe,severe,15
495,sites,sites,15
496,single,single,15
497,low,low,15
498,quadrant,quadrant,15
499,fragments,"fragements, fragments",15
500,radial,radial,15
501,underneath,underneath,15
502,zone,zone,15
503,cl,cl,15
504,entire,entire,14
505,width,width,14
506,fb,fb,14
507,elsewhere,elsewhere,14
508,across,across,14
509,neg,neg,14
510,neurotrophic,neurotrophic,14
511,tectonic,tectonic,14
512,epith,epith,14
513,normal,normal,14
514,main,main,14
515,formed,formed,14
516,each,each,14
517,assess,assess,14
518,overall,overall,14
519,shape,shape,14
520,bulging,bulging,14
521,dissolved,dissolved,14
522,culture,culture,14
523,uvea,uvea,14
524,detachment,"detachemnt, detachment",14
525,focally,focally,13
526,increase,increase,13
527,bandage,bandage,13
528,possible,possible,13
529,fibrin,fibrin,13
530,ridge,ridge,13
531,aspect,aspect,13
532,inflamed,"inflamed, inflammed",13
533,material,material,13
534,markedly,markedly,13
535,failed,failed,13
536,though,though,13
537,depression,depression,13
538,locations,"locations, locatoins",13
539,extent,extent,13
540,crescent,"crescent, cresscent",13
541,located,located,13
542,dfs,dfs,13
543,light,light,13
544,lash,lash,13
545,prokera,prokera,12
546,bit,bit,12
547,filament,"filament, filmanet",12
548,bulge,"bulge, bulte",12
549,fl,fl,12
550,flattened,flattened,12
551,involves,involves,12
552,subtle,subtle,12
553,whorled,whorled,12
554,desmetocele,"desmatocel, desmetocele",12
555,vessel,vessel,12
556,ou,ou,12
557,retroprosthetic,retroprosthetic,12
558,closed,closed,12
559,fully,fully,12
560,epitheliopathy,epitheliopathy,12
561,macro,macro,12
562,perilimbal,perilimbal,12
563,plug,plug,12
564,length,length,12
565,prose,prose,12
566,inactive,inactive,12
567,posteriorly,posteriorly,12
568,diagonal,"diagnoal, diagonal",12
569,high,high,12
570,covered,covered,12
571,tracks,tracks,12
572,emanating,"emanating, emenating, eminating",12
573,midperiphery,midperiphery,12
574,many,many,11
575,evidence,evidence,11
576,optic,optic,11
577,poor,poor,11
578,calcific,"calcific, calicific",11
579,ing,ing,11
580,divot,divot,11
581,blending,blending,11
582,delle,delle,11
583,largely,largely,11
584,gap,gap,11
585,does,does,11
586,patient,patient,11
587,slit,slit,11
588,mmh,mmh,11
589,bed,bed,11
590,maximal,maximal,11
591,gluing,gluing,11
592,yesterday,yesterday,11
593,chamber,chamber,11
594,keratomalacia,keratomalacia,11
595,former,former,11
596,shallow,shallow,11
597,gh,gh,11
598,fit,fit,11
599,pupillary,pupillary,11
600,abutting,abutting,11
601,tars,tars,11
602,moderately,moderately,11
603,versus,versus,11
604,retrocorneal,retrocorneal,11
605,taken,taken,11
606,concave,concave,11
607,epithelialized,epithelialized,11
608,after,after,11
609,its,its,10
610,allowing,allowing,10
611,loosening,loosening,10
612,infilt,"infil, infilt",10
613,circumscribed,circumscribed,10
614,engorged,engorged,10
615,dilated,dilated,10
616,relatively,relatively,10
617,knv,knv,10
618,including,including,10
619,before,before,10
620,beginning,beginning,10
621,pig,pig,10
622,dellen,dellen,10
623,sequestration,sequestration,10
624,inplace,inplace,10
625,smooth,smooth,10
626,dimension,"dimension, dimention",10
627,microphthalmia,"microophthalmia, microphthalmia",10
628,sxs,sxs,10
629,assd,assd,10
630,distinct,distinct,10
631,leak,leak,10
632,eye,eye,10
633,protruding,protruding,10
634,appreciable,appreciable,10
635,original,original,10
636,transplant,transplant,10
637,encroaching,encroaching,10
638,left,left,10
639,resolution,resolution,10
640,pupil,pupil,10
641,protrusion,protrusion,9
642,visit,visit,9
643,region,region,9
644,seems,seems,9
645,lift,lift,9
646,uveal,uveal,9
647,prominently,prominently,9
648,cannot,cannot,9
649,prolapsed,prolapsed,9
650,lamp,lamp,9
651,rim,rim,9
652,mucoid,mucoid,9
653,ectatic,ectatic,9
654,somewhat,somewhat,9
655,layers,layers,9
656,nodule,nodule,9
657,apex,"apex, appx",9
658,longest,longest,9
659,forming,forming,9
660,kps,kps,9
661,override,override,9
662,cone,cone,9
663,partially,partially,9
664,conjunctiva,conjunctiva,9
665,medial,medial,9
666,additional,additional,9
667,thinner,thinner,9
668,largest,largest,9
669,recurrent,recurrent,8
670,next,next,8
671,radially,radially,8
672,kontur,kontur,8
673,lower,lower,8
674,coming,coming,8
675,point,point,8
676,intrastromal,intrastromal,8
677,ocular,ocular,8
678,infranasal,infranasal,8
679,dmf,dmf,8
680,coalescing,coalescing,8
681,injection,injection,8
682,pressure,pressure,8
683,keratoprosthesis,keratoprosthesis,8
684,clearer,clearer,8
685,past,past,8
686,may,may,8
687,pericentral,pericentral,8
688,pic,pic,8
689,pinguecula,pinguecula,8
690,patches,patches,8
691,remnants,remnants,8
692,lid,lid,8
693,body,body,8
694,sub,sub,8
695,fresh,fresh,8
696,spindle,spindle,8
697,due,due,8
698,geographic,geographic,8
699,tight,tight,8
700,towards,towards,8
701,side,side,8
702,stomal,stomal,8
703,extra,extra,8
704,seis,seis,8
705,exposure,exposure,8
706,end,end,8
707,window,window,8
708,foreign,foreign,8
709,bscl,bscl,8
710,bows,bows,8
711,branching,branching,8
712,if,if,7
713,pees,pees,7
714,then,then,7
715,ghost,ghost,7
716,consistent,consistent,7
717,wounds,wounds,7
718,inferomedial,inferomedial,7
719,contour,"contour, kontour",7
720,perilimbally,perilimbally,7
721,photos,photos,7
722,signs,signs,7
723,absent,absent,7
724,bowing,bowing,7
725,levels,levels,7
726,supparative,"supparative, supprative, suppurative",7
727,corresponding,"coresponding, corresponding",7
728,density,density,7
729,notably,notably,7
730,cysts,cysts,7
731,clinically,clinically,7
732,arc,arc,7
733,substantial,substantial,7
734,depth,depth,7
735,stellate,stellate,7
736,ointment,ointment,7
737,strands,strands,7
738,clustered,clustered,7
739,opening,opening,7
740,fell,fell,7
741,decentered,decentered,7
742,wide,wide,7
743,cellular,cellular,7
744,extend,extend,7
745,visualize,visualize,7
746,ends,ends,7
747,extremely,"extremely, extrememly",7
748,upper,upper,7
749,lateral,lateral,7
750,marked,marked,7
751,except,except,7
752,poorly,poorly,7
753,rust,rust,7
754,fairly,fairly,7
756,hour,hour,7
757,infection,infection,7
758,both,both,7
759,whorl,whorl,6
760,enlarged,enlarged,6
761,leading,leading,6
762,submm,submm,6
763,layer,layer,6
764,leash,leash,6
765,hxv,"hsv, hxv",6
766,deg,deg,6
767,nodules,nodules,6
768,crystals,crystals,6
769,cuts,cuts,6
770,triangular,triangular,6
771,any,any,6
772,another,another,6
773,rgp,rgp,6
774,adherent,adherent,6
775,fainter,fainter,6
776,lkp,lkp,6
777,abnormal,abnormal,6
778,medium,medium,6
779,ulcerations,ulcerations,6
780,refractile,refractile,6
781,reactive,reactive,6
782,based,based,6
783,been,been,6
784,chronic,chronic,6
785,inferioronasally,inferioronasally,6
786,down,down,6
787,clump,clump,6
788,plugged,plugged,6
789,plugging,plugging,6
790,dot,dot,6
791,behind,behind,6
792,sensitive,sensitive,6
793,incorporated,incorporated,6
794,semicircular,semicircular,6
795,incisions,incisions,6
796,growth,growth,6
797,beyond,beyond,6
798,second,second,6
799,dimensions,"dimensions, dimenstions",6
800,can,can,6
801,immediately,immediately,6
802,pronounced,pronounced,6
803,quiet,quiet,6
804,horseshoe,horseshoe,6
805,rapid,rapid,6
806,sized,sized,6
807,sharp,sharp,6
808,general,general,6
809,st,st,6
810,snail,snail,6
811,avascular,avascular,6
812,part,part,6
813,cloudy,cloudy,6
814,clouding,clouding,6
815,base,base,6
816,fro,fro,6
817,scarred,scarred,5
818,scant,scant,5
819,cross,cross,5
820,whitening,whitening,5
821,what,what,5
822,subei,subei,5
823,sclerocornea,sclerocornea,5
824,scaring,scaring,5
825,obscured,obscured,5
826,confluence,confluence,5
827,widest,widest,5
828,spot,spot,5
829,closing,closing,5
830,bullous,bullous,5
831,repair,repair,5
832,worst,worst,5
833,quite,quite,5
834,remnant,remnant,5
835,relative,relative,5
836,rejection,rejection,5
837,attempts,attempts,5
838,obliquely,obliquely,5
839,pannuse,pannuse,5
840,caught,caught,5
841,possibly,possibly,5
842,although,although,5
843,perf,perf,5
844,conjunctivalized,conjunctivalized,5
845,since,since,5
846,barely,barely,5
847,totally,totally,5
848,mod,mod,5
849,tangenitally,"tangenitally, tangentially",5
850,nodular,nodular,5
851,pin,pin,5
852,shield,"sheild, shield",5
853,surround,surround,5
854,coverage,coverage,5
855,plus,plus,5
856,notable,notable,5
857,spee,spee,5
858,saltzmann,saltzmann,5
859,supertemporally,supertemporally,5
860,update,update,5
861,numerous,numerous,5
862,senilus,senilus,5
863,appreciate,appreciate,5
864,conj,conj,5
865,stippling,stippling,5
866,lattice,lattice,5
867,deposit,deposit,5
868,filled,filled,5
869,diagram,diagram,5
870,holes,holes,5
871,greatly,greatly,5
872,documented,documented,5
873,gutter,gutter,5
874,degree,degree,5
875,furrow,furrow,5
876,leakage,leakage,5
877,donor,donor,5
878,immune,immune,5
879,having,having,5
880,haziness,haziness,5
881,hyphema,hyphema,5
882,decrease,decrease,5
883,decreasing,decreasing,5
884,knot,knot,5
885,knots,knots,5
886,least,least,5
887,irregularities,irregularities,5
888,examination,examination,5
889,erosion,erosion,5
890,leukocytes,leukocytes,5
891,desc,desc,5
892,even,even,5
893,jx,jx,5
894,infnasal,infnasal,5
895,generalized,generalized,5
896,infiltrative,"infiltraive, infiltrative",5
897,described,described,5
898,flatter,flatter,5
899,hole,hole,5
900,displaced,displaced,5
901,drainage,drainage,5
902,fibrovascular,fibrovascular,5
903,heart,heart,4
904,connected,connected,4
905,bubble,bubble,4
906,bubbles,bubbles,4
907,regressed,regressed,4
908,bilobed,bilobed,4
909,rough,rough,4
910,roughened,roughened,4
911,rpm,rpm,4
912,moving,moving,4
913,dseak,dseak,4
914,reflex,reflex,4
915,contracted,contracted,4
916,overhang,overhang,4
917,greater,greater,4
918,sharply,sharply,4
919,ghosted,ghosted,4
920,beat,beat,4
921,midway,midway,4
922,bare,bare,4
923,here,here,4
924,regressing,regressing,4
925,recruitment,recruitment,4
926,coalesced,coalesced,4
927,infranasally,infranasally,4
928,portable,portable,4
929,did,did,4
930,pinpt,pinpt,4
931,coating,coating,4
932,pictured,pictured,4
933,periph,periph,4
934,predominantly,predominantly,4
935,interpalpebrally,interpalpebrally,4
936,pmns,pmns,4
937,detached,detached,4
938,infiltratete,"infiltratel, infiltratete",4
939,para,para,4
940,ovoid,ovoid,4
941,post,post,4
942,improvement,improvement,4
943,demarcated,demarcated,4
944,bulla,bulla,4
945,nerves,nerves,4
946,island,island,4
947,irregularly,irregularly,4
948,denser,denser,4
949,densest,densest,4
950,concentrated,concentrated,4
951,however,however,4
952,improve,improve,4
953,pulsations,pulsations,4
954,component,component,4
955,pseudopodial,pseudopodial,4
956,pseudo,pseudo,4
957,prosthetic,prosthetic,4
958,oblique,oblique,4
959,bank,bank,4
960,keratectasia,keratectasia,4
961,test,test,4
962,lots,lots,4
963,acruate,"acruate, arcuate",4
964,supernasal,supernasal,4
965,oflox,oflox,4
966,swirled,"swirled, sworled",4
967,swollen,swollen,4
968,deferred,deferred,4
969,anteriorly,anteriorly,4
970,angle,angle,4
971,spared,spared,4
972,thining,thining,4
973,filling,filling,4
974,adjoining,adjoining,4
975,top,top,4
976,ed,ed,4
977,trichiatic,trichiatic,4
978,ulcers,ulcers,4
979,localized,localized,4
980,unclear,unclear,4
981,lobe,lobe,4
982,unexposed,unexposed,4
983,mdf,mdf,4
984,visualized,visualized,4
985,curvilinear,curvilinear,4
986,cystic,cystic,4
987,fleischer,fleischer,4
988,esp,esp,4
989,maybe,maybe,4
990,infracentral,infracentral,4
991,melt,melt,4
992,spreading,spreading,4
993,friday,friday,4
994,microcysts,microcysts,4
995,away,away,4
996,stains,stains,4
997,attachment,attachment,4
998,meniscus,meniscus,4
999,chemosis,chemosis,3
1000,infero,infero,3
1001,pm,pm,3
1002,becoming,becoming,3
1003,indistinct,indistinct,3
1004,indented,indented,3
1005,diffused,diffused,3
1006,satellites,satellites,3
1007,staph,staph,3
1008,ball,ball,3
1009,precipitate,precipitate,3
1010,triple,triple,3
1011,cand,cand,3
1012,granulomatous,granulomatous,3
1013,fat,fat,3
1014,primarily,primarily,3
1015,impeding,impeding,3
1016,tract,tract,3
1017,ulcerated,ulcerated,3
1018,eyelash,eyelash,3
1019,abut,abut,3
1020,week,week,3
1021,er,er,3
1022,slow,slow,3
1023,sloughed,sloughed,3
1024,whorling,"whirling, whorling",3
1025,particularly,particularly,3
1026,sliver,sliver,3
1027,exams,exams,3
1028,haabs,haabs,3
1029,inferotemproal,inferotemproal,3
1030,pek,pek,3
1031,exudation,exudation,3
1032,perforated,perforated,3
1033,performed,performed,3
1034,pericentrally,pericentrally,3
1035,circle,circle,3
1036,ciloxan,ciloxan,3
1037,slazmanns,slazmanns,3
1038,persistent,persistent,3
1039,mmx,mmx,3
1040,photo,photo,3
1041,track,track,3
1042,setting,setting,3
1043,discharge,discharge,3
1044,structures,structures,3
1045,assessment,assessment,3
1046,hinge,hinge,3
1047,ecatatic,ecatatic,3
1048,swelling,swelling,3
1049,flattening,flattening,3
1050,supranasally,supranasally,3
1051,build,build,3
1052,removal,removal,3
1053,superotermporal,superotermporal,3
1054,heaping,heaping,3
1055,safety,safety,3
1056,haab,haab,3
1057,bite,bite,3
1058,retained,retained,3
1059,disruption,disruption,3
1060,blink,blink,3
1061,folded,folded,3
1062,subepithelium,subepithelium,3
1063,focus,focus,3
1064,fold,"dfold, fold",3
1065,flare,flare,3
1066,recently,recently,3
1067,rtbut,rtbut,3
1068,strip,strip,3
1069,too,too,3
1070,together,together,3
1071,pt,pt,3
1072,tip,"qtip, tip",3
1073,hypertrophy,hypertrophy,3
1074,fibrinous,fibrinous,3
1075,purulent,purulent,3
1076,questionable,questionable,3
1077,third,third,3
1078,stippled,stippled,3
1079,dislodged,dislodged,3
1080,stitch,stitch,3
1081,grossly,grossly,3
1082,tension,tension,3
1083,temptotally,temptotally,3
1084,rxn,rxn,3
1085,tears,tears,3
1086,rb,rb,3
1087,reaching,reaching,3
1088,som,som,3
1089,lg,lg,3
1090,lifting,lifting,3
1091,corner,corner,3
1092,movement,movement,3
1093,leaking,leaking,3
1094,originating,originating,3
1095,interiorly,"ineriorly, interiorly",3
1096,lowlying,lowlying,3
1097,min,min,3
1098,max,max,3
1099,limits,limits,3
1100,move,move,3
1101,look,look,3
1102,marks,marks,3
1103,minimally,minimally,3
1104,continues,continues,3
1105,metallic,metallic,3
1106,open,open,3
1107,contracting,contracting,3
1108,conjunctival,conjunctival,3
1109,little,little,3
1110,maximum,maximum,3
1111,name,name,3
1112,lowest,lowest,3
1113,outlines,outlines,3
1114,mainly,mainly,3
1115,continued,continued,3
1116,deposited,deposited,3
1117,medially,medially,3
1118,mutton,mutton,3
1119,course,course,3
1120,microstriae,microstriae,3
1121,interfaces,interfaces,3
1122,addition,addition,2
1123,either,either,2
1124,fibrosis,fibrosis,2
1125,allow,allow,2
1126,remainder,remainder,2
1127,cloudly,cloudly,2
1128,finer,finer,2
1129,times,times,2
1130,resembles,resembles,2
1131,ti,ti,2
1132,ahead,ahead,2
1133,removing,removing,2
1134,microcornea,microcornea,2
1135,resting,resting,2
1136,laterally,laterally,2
1137,resembling,resembling,2
1138,requiring,requiring,2
1139,layered,layered,2
1140,loosen,loosen,2
1141,red,red,2
1142,necrosis,necrosis,2
1143,concern,concern,2
1144,type,type,2
1145,nothing,nothing,2
1146,iridocorneal,iridocorneal,2
1147,put,put,2
1148,note,note,2
1149,abrasions,abrasions,2
1150,question,question,2
